Date,気温(℃),湿度(%),風速(m/s)
2020-12-01 0:10,9.5,84,1
2020-12-01 0:20,9.6,84,1
2020-12-01 0:30,9.4,84,1
2020-12-01 0:40,9.8,80,1
2020-12-01 0:50,8.7,84,1
2020-12-01 1:00,8.5,84,2
2020-12-01 1:10,9,83,2
2020-12-01 1:20,8.3,86,2
2020-12-01 1:30,8.9,82,2
2020-12-01 1:40,9.2,82,2
2020-12-01 1:50,9.1,81,1
2020-12-01 2:00,9.6,79,2
2020-12-01 2:10,9.1,81,2
2020-12-01 2:20,8.9,81,2
2020-12-01 2:30,8.3,85,3
2020-12-01 2:40,8.1,84,3
2020-12-01 2:50,8.9,83,3
2020-12-01 3:00,9.2,77,3
2020-12-01 3:10,9.1,71,3
2020-12-01 3:20,8.9,68,3
2020-12-01 3:30,8.5,68,3
2020-12-01 3:40,8.5,69,3
2020-12-01 3:50,8.5,67,4
2020-12-01 4:00,7.9,67,4
2020-12-01 4:10,8.5,66,4
2020-12-01 4:20,8.6,64,5
2020-12-01 4:30,7.4,68,5
2020-12-01 4:40,7.6,69,3
2020-12-01 4:50,7.6,70,3
2020-12-01 5:00,7.2,72,3
2020-12-01 5:10,6.9,72,3
2020-12-01 5:20,6.5,71,2
2020-12-01 5:30,6.9,70,2
2020-12-01 5:40,6.2,74,2
2020-12-01 5:50,5.9,76,2
2020-12-01 6:00,6.1,74,3
2020-12-01 6:10,6,74,3
2020-12-01 6:20,6.3,73,3
2020-12-01 6:30,6.5,73,3
2020-12-01 6:40,6.3,75,4
2020-12-01 6:50,5.8,80,4
2020-12-01 7:00,5.6,80,4
2020-12-01 7:10,6.5,81,4
2020-12-01 7:20,6.3,82,4
2020-12-01 7:30,6.3,84,4
2020-12-01 7:40,6.9,81,5
2020-12-01 7:50,7.2,80,5
2020-12-01 8:00,7.4,80,5
2020-12-01 8:10,7.4,78,5
2020-12-01 8:20,7.8,76,5
2020-12-01 8:30,8.2,75,5
2020-12-01 8:40,8.9,75,5
2020-12-01 8:50,9.4,68,4
2020-12-01 9:00,9.4,66,4
2020-12-01 9:10,9.5,62,4
2020-12-01 9:20,9.7,62,4
2020-12-01 9:30,10.1,60,4
2020-12-01 9:40,10.7,60,2
2020-12-01 9:50,10.9,60,2
2020-12-01 10:00,11.1,57,2
2020-12-01 10:10,11.4,60,2
2020-12-01 10:20,11.5,61,2
2020-12-01 10:30,11.9,60,2
2020-12-01 10:40,11.7,59,3
2020-12-01 10:50,12.3,58,2
2020-12-01 11:00,11.9,57,1
2020-12-01 11:10,11.9,56,1
2020-12-01 11:20,13,53,1
2020-12-01 11:30,13.1,53,1
2020-12-01 11:40,12.8,54,1
2020-12-01 11:50,13.5,55,2
2020-12-01 12:00,13.2,52,2
2020-12-01 12:10,13.4,52,2
2020-12-01 12:20,13.2,49,1
2020-12-01 12:30,14,49,1
2020-12-01 12:40,14,49,1
2020-12-01 12:50,14.1,49,1
2020-12-01 13:00,14.7,49,2
2020-12-01 13:10,13.7,47,2
2020-12-01 13:20,14,45,2
2020-12-01 13:30,14.4,46,2
2020-12-01 13:40,14.3,46,2
2020-12-01 13:50,14,47,3
2020-12-01 14:00,13.8,48,3
2020-12-01 14:10,13.6,49,3
2020-12-01 14:20,13.6,46,3
2020-12-01 14:30,13.6,47,3
2020-12-01 14:40,13.8,46,5
2020-12-01 14:50,13.6,46,5
2020-12-01 15:00,13.7,46,5
2020-12-01 15:10,13.3,45,5
2020-12-01 15:20,12.9,49,5
2020-12-01 15:30,13.1,47,5
2020-12-01 15:40,12.8,48,5
2020-12-01 15:50,12.2,52,6
2020-12-01 16:00,12.5,50,6
2020-12-01 16:10,12.3,50,6
2020-12-01 16:20,11.9,53,6
2020-12-01 16:30,11.8,54,6
2020-12-01 16:40,11.2,55,6
2020-12-01 16:50,10.8,59,6
2020-12-01 17:00,11.4,58,6
2020-12-01 17:10,11.3,58,5
2020-12-01 17:20,10.8,61,5
2020-12-01 17:30,10.9,61,5
2020-12-01 17:40,10.4,63,5
2020-12-01 17:50,11.2,61,5
2020-12-01 18:00,12.4,60,5
2020-12-01 18:10,11.9,65,4
2020-12-01 18:20,12.1,63,4
2020-12-01 18:30,11.5,64,4
2020-12-01 18:40,11.7,62,4
2020-12-01 18:50,11.3,62,4
2020-12-01 19:00,11.5,61,4
2020-12-01 19:10,11.5,60,4
2020-12-01 19:20,11,61,4
2020-12-01 19:30,10.7,63,4
2020-12-01 19:40,11.3,61,3
2020-12-01 19:50,11.1,62,3
2020-12-01 20:00,10.5,65,3
2020-12-01 20:10,11.1,64,3
2020-12-01 20:20,10.6,66,3
2020-12-01 20:30,10.3,67,3
2020-12-01 20:40,10.5,66,3
2020-12-01 20:50,10,69,2
2020-12-01 21:00,10.3,68,2
2020-12-01 21:10,10.4,68,3
2020-12-01 21:20,10.2,69,3
2020-12-01 21:30,10,69,3
2020-12-01 21:40,10.2,68,3
2020-12-01 21:50,9.4,72,4
2020-12-01 22:00,9.3,72,4
2020-12-01 22:10,9.8,70,4
2020-12-01 22:20,10.1,69,4
2020-12-01 22:30,9.5,72,3
2020-12-01 22:40,9,75,3
2020-12-01 22:50,9.2,74,4
2020-12-01 23:00,9.6,72,4
2020-12-01 23:10,9.3,74,4
2020-12-01 23:20,9.2,75,4
2020-12-01 23:30,9.5,74,5
2020-12-01 23:40,9.3,74,5
2020-12-01 23:50,9,76,5
2020-12-02 0:00,8.6,78,5
